LAU121CD,LAU121NM,ITL321CD,ITL321NM,ITL221CD,ITL221NM,ITL121CD,ITL121NM
E06000058,"Bournemouth, Christchurch and Poole",TLK24,"Bournemouth, Christchurch and Poole",TLK2,Dorset and Somerset,TLK,South West (England)
E06000059,Dorset,TLK25,Dorset,TLK2,Dorset and Somerset,TLK,South West (England)
E06000060,Buckinghamshire,TLJ13,Buckinghamshire,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ,South East (England)
E06000061,North Northamptonshire,TLF25,North Northamptonshire,TLF2,"Leicestershire, Rutland and Northamptonshire",TLF,East Midlands (England)
E06000062,West Northamptonshire,TLF24,West Northamptonshire,TLF2,"Leicestershire, Rutland and Northamptonshire",TLF,East Midlands (England)
E07000008,Cambridge,TLH12,Cambridgeshire CC,TLH1,East Anglia,TLH,East
E07000009,East Cambridgeshire,TLH12,Cambridgeshire CC,TLH1,East Anglia,TLH,East
E07000010,Fenland,TLH12,Cambridgeshire CC,TLH1,East Anglia,TLH,East
E07000011,Huntingdonshire,TLH12,Cambridgeshire CC,TLH1,East Anglia,TLH,East
E07000012,South Cambridgeshire,TLH12,Cambridgeshire CC,TLH1,East Anglia,TLH,East
E07000026,Allerdale,TLD11,West Cumbria,TLD1,Cumbria,TLD,North West (England)
E07000027,Barrow-in-Furness,TLD11,West Cumbria,TLD1,Cumbria,TLD,North West (England)
E07000028,Carlisle,TLD12,East Cumbria,TLD1,Cumbria,TLD,North West (England)
E07000029,Copeland,TLD11,West Cumbria,TLD1,Cumbria,TLD,North West (England)
E07000030,Eden,TLD12,East Cumbria,TLD1,Cumbria,TLD,North West (England)
E07000031,South Lakeland,TLD12,East Cumbria,TLD1,Cumbria,TLD,North West (England)
E07000032,Amber Valley,TLF13,South and West Derbyshire,TLF1,Derbyshire and Nottinghamshire,TLF,East Midlands (England)
E07000033,Bolsover,TLF12,East Derbyshire,TLF1,Derbyshire and Nottinghamshire,TLF,East Midlands (England)
E07000034,Chesterfield,TLF12,East Derbyshire,TLF1,Derbyshire and Nottinghamshire,TLF,East Midlands (England)
E07000035,Derbyshire Dales,TLF13,South and West Derbyshire,TLF1,Derbyshire and Nottinghamshire,TLF,East Midlands (England)
E07000036,Erewash,TLF13,South and West Derbyshire,TLF1,Derbyshire and Nottinghamshire,TLF,East Midlands (England)
E07000037,High Peak,TLF13,South and West Derbyshire,TLF1,Derbyshire and Nottinghamshire,TLF,East Midlands (England)
E07000038,North East Derbyshire,TLF12,East Derbyshire,TLF1,Derbyshire and Nottinghamshire,TLF,East Midlands (England)
E07000039,South Derbyshire,TLF13,South and West Derbyshire,TLF1,Derbyshire and Nottinghamshire,TLF,East Midlands (England)
E07000040,East Devon,TLK43,Devon CC,TLK4,Devon,TLK,South West (England)
E07000041,Exeter,TLK43,Devon CC,TLK4,Devon,TLK,South West (England)
E07000042,Mid Devon,TLK43,Devon CC,TLK4,Devon,TLK,South West (England)
E07000043,North Devon,TLK43,Devon CC,TLK4,Devon,TLK,South West (England)
E07000044,South Hams,TLK43,Devon CC,TLK4,Devon,TLK,South West (England)
E07000045,Teignbridge,TLK43,Devon CC,TLK4,Devon,TLK,South West (England)
E07000046,Torridge,TLK43,Devon CC,TLK4,Devon,TLK,South West (England)
E07000047,West Devon,TLK43,Devon CC,TLK4,Devon,TLK,South West (England)
E07000061,Eastbourne,TLJ22,East Sussex CC,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England)
E07000062,Hastings,TLJ22,East Sussex CC,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England)
E07000063,Lewes,TLJ22,East Sussex CC,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England)
E07000064,Rother,TLJ22,East Sussex CC,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England)
E07000065,Wealden,TLJ22,East Sussex CC,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England)
E07000066,Basildon,TLH37,Essex Thames Gateway,TLH3,Essex,TLH,East
E07000067,Braintree,TLH34,Essex Haven Gateway,TLH3,Essex,TLH,East
E07000068,Brentwood,TLH36,Heart of Essex,TLH3,Essex,TLH,East
E07000069,Castle Point,TLH37,Essex Thames Gateway,TLH3,Essex,TLH,East
E07000070,Chelmsford,TLH36,Heart of Essex,TLH3,Essex,TLH,East
E07000071,Colchester,TLH34,Essex Haven Gateway,TLH3,Essex,TLH,East
E07000072,Epping Forest,TLH35,West Essex,TLH3,Essex,TLH,East
E07000073,Harlow,TLH35,West Essex,TLH3,Essex,TLH,East
E07000074,Maldon,TLH36,Heart of Essex,TLH3,Essex,TLH,East
E07000075,Rochford,TLH37,Essex Thames Gateway,TLH3,Essex,TLH,East
E07000076,Tendring,TLH34,Essex Haven Gateway,TLH3,Essex,TLH,East
E07000077,Uttlesford,TLH35,West Essex,TLH3,Essex,TLH,East
E07000078,Cheltenham,TLK13,Gloucestershire CC,TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",TLK,South West (England)
E07000079,Cotswold,TLK13,Gloucestershire CC,TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",TLK,South West (England)
E07000080,Forest of Dean,TLK13,Gloucestershire CC,TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",TLK,South West (England)
E07000081,Gloucester,TLK13,Gloucestershire CC,TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",TLK,South West (England)
E07000082,Stroud,TLK13,Gloucestershire CC,TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",TLK,South West (England)
E07000083,Tewkesbury,TLK13,Gloucestershire CC,TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",TLK,South West (England)
E07000084,Basingstoke and Deane,TLJ37,North Hampshire,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England)
E07000085,East Hampshire,TLJ36,Central Hampshire,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England)
E07000086,Eastleigh,TLJ35,South Hampshire,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England)
E07000087,Fareham,TLJ35,South Hampshire,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England)
E07000088,Gosport,TLJ35,South Hampshire,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England)
E07000089,Hart,TLJ37,North Hampshire,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England)
E07000090,Havant,TLJ35,South Hampshire,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England)
E07000091,New Forest,TLJ36,Central Hampshire,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England)
E07000092,Rushmoor,TLJ37,North Hampshire,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England)
E07000093,Test Valley,TLJ36,Central Hampshire,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England)
E07000094,Winchester,TLJ36,Central Hampshire,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England)
E07000095,Broxbourne,TLH23,Hertfordshire CC,TLH2,Bedfordshire and Hertfordshire,TLH,East
E07000096,Dacorum,TLH23,Hertfordshire CC,TLH2,Bedfordshire and Hertfordshire,TLH,East
E07000098,Hertsmere,TLH23,Hertfordshire CC,TLH2,Bedfordshire and Hertfordshire,TLH,East
E07000099,North Hertfordshire,TLH23,Hertfordshire CC,TLH2,Bedfordshire and Hertfordshire,TLH,East
E07000102,Three Rivers,TLH23,Hertfordshire CC,TLH2,Bedfordshire and Hertfordshire,TLH,East
E07000103,Watford,TLH23,Hertfordshire CC,TLH2,Bedfordshire and Hertfordshire,TLH,East
E07000105,Ashford,TLJ45,Mid Kent,TLJ4,Kent,TLJ,South East (England)
E07000106,Canterbury,TLJ44,East Kent,TLJ4,Kent,TLJ,South East (England)
E07000107,Dartford,TLJ43,Kent Thames Gateway,TLJ4,Kent,TLJ,South East (England)
E07000108,Dover,TLJ44,East Kent,TLJ4,Kent,TLJ,South East (England)
E07000109,Gravesham,TLJ43,Kent Thames Gateway,TLJ4,Kent,TLJ,South East (England)
E07000110,Maidstone,TLJ45,Mid Kent,TLJ4,Kent,TLJ,South East (England)
E07000111,Sevenoaks,TLJ46,West Kent,TLJ4,Kent,TLJ,South East (England)
E07000112,Folkestone and Hythe,TLJ44,East Kent,TLJ4,Kent,TLJ,South East (England)
E07000113,Swale,TLJ43,Kent Thames Gateway,TLJ4,Kent,TLJ,South East (England)
E07000114,Thanet,TLJ44,East Kent,TLJ4,Kent,TLJ,South East (England)
E07000115,Tonbridge and Malling,TLJ46,West Kent,TLJ4,Kent,TLJ,South East (England)
E07000116,Tunbridge Wells,TLJ46,West Kent,TLJ4,Kent,TLJ,South East (England)
E07000117,Burnley,TLD46,East Lancashire,TLD4,Lancashire,TLD,North West (England)
E07000118,Chorley,TLD47,Chorley and West Lancashire,TLD4,Lancashire,TLD,North West (England)
E07000119,Fylde,TLD45,Mid Lancashire,TLD4,Lancashire,TLD,North West (England)
E07000120,Hyndburn,TLD46,East Lancashire,TLD4,Lancashire,TLD,North West (England)
E07000121,Lancaster,TLD44,Lancaster and Wyre,TLD4,Lancashire,TLD,North West (England)
E07000122,Pendle,TLD46,East Lancashire,TLD4,Lancashire,TLD,North West (England)
E07000123,Preston,TLD45,Mid Lancashire,TLD4,Lancashire,TLD,North West (England)
E07000124,Ribble Valley,TLD45,Mid Lancashire,TLD4,Lancashire,TLD,North West (England)
E07000125,Rossendale,TLD46,East Lancashire,TLD4,Lancashire,TLD,North West (England)
E07000126,South Ribble,TLD45,Mid Lancashire,TLD4,Lancashire,TLD,North West (England)
E07000127,West Lancashire,TLD47,Chorley and West Lancashire,TLD4,Lancashire,TLD,North West (England)
E07000128,Wyre,TLD44,Lancaster and Wyre,TLD4,Lancashire,TLD,North West (England)
E07000129,Blaby,TLF22,Leicestershire CC and Rutland,TLF2,"Leicestershire, Rutland and Northamptonshire",TLF,East Midlands (England)
E07000130,Charnwood,TLF22,Leicestershire CC and Rutland,TLF2,"Leicestershire, Rutland and Northamptonshire",TLF,East Midlands (England)
E07000131,Harborough,TLF22,Leicestershire CC and Rutland,TLF2,"Leicestershire, Rutland and Northamptonshire",TLF,East Midlands (England)
E07000132,Hinckley and Bosworth,TLF22,Leicestershire CC and Rutland,TLF2,"Leicestershire, Rutland and Northamptonshire",TLF,East Midlands (England)
E07000133,Melton,TLF22,Leicestershire CC and Rutland,TLF2,"Leicestershire, Rutland and Northamptonshire",TLF,East Midlands (England)
E07000134,North West Leicestershire,TLF22,Leicestershire CC and Rutland,TLF2,"Leicestershire, Rutland and Northamptonshire",TLF,East Midlands (England)
E07000135,Oadby and Wigston,TLF22,Leicestershire CC and Rutland,TLF2,"Leicestershire, Rutland and Northamptonshire",TLF,East Midlands (England)
E07000136,Boston,TLF30,Lincolnshire CC,TLF3,Lincolnshire,TLF,East Midlands (England)
E07000137,East Lindsey,TLF30,Lincolnshire CC,TLF3,Lincolnshire,TLF,East Midlands (England)
E07000138,Lincoln,TLF30,Lincolnshire CC,TLF3,Lincolnshire,TLF,East Midlands (England)
E07000139,North Kesteven,TLF30,Lincolnshire CC,TLF3,Lincolnshire,TLF,East Midlands (England)
E07000140,South Holland,TLF30,Lincolnshire CC,TLF3,Lincolnshire,TLF,East Midlands (England)
E07000141,South Kesteven,TLF30,Lincolnshire CC,TLF3,Lincolnshire,TLF,East Midlands (England)
E07000142,West Lindsey,TLF30,Lincolnshire CC,TLF3,Lincolnshire,TLF,East Midlands (England)
E07000143,Breckland,TLH17,Breckland and South Norfolk,TLH1,East Anglia,TLH,East
E07000144,Broadland,TLH15,Norwich and East Norfolk,TLH1,East Anglia,TLH,East
E07000145,Great Yarmouth,TLH15,Norwich and East Norfolk,TLH1,East Anglia,TLH,East
E07000146,King's Lynn and West Norfolk,TLH16,North and West Norfolk,TLH1,East Anglia,TLH,East
E07000147,North Norfolk,TLH16,North and West Norfolk,TLH1,East Anglia,TLH,East
E07000148,Norwich,TLH15,Norwich and East Norfolk,TLH1,East Anglia,TLH,East
E07000149,South Norfolk,TLH17,Breckland and South Norfolk,TLH1,East Anglia,TLH,East
E07000163,Craven,TLE22,North Yorkshire CC,TLE2,North Yorkshire,TLE,Yorkshire and The Humber
E07000164,Hambleton,TLE22,North Yorkshire CC,TLE2,North Yorkshire,TLE,Yorkshire and The Humber
E07000165,Harrogate,TLE22,North Yorkshire CC,TLE2,North Yorkshire,TLE,Yorkshire and The Humber
E07000166,Richmondshire,TLE22,North Yorkshire CC,TLE2,North Yorkshire,TLE,Yorkshire and The Humber
E07000167,Ryedale,TLE22,North Yorkshire CC,TLE2,North Yorkshire,TLE,Yorkshire and The Humber
E07000168,Scarborough,TLE22,North Yorkshire CC,TLE2,North Yorkshire,TLE,Yorkshire and The Humber
E07000169,Selby,TLE22,North Yorkshire CC,TLE2,North Yorkshire,TLE,Yorkshire and The Humber
E07000170,Ashfield,TLF15,North Nottinghamshire,TLF1,Derbyshire and Nottinghamshire,TLF,East Midlands (England)
E07000171,Bassetlaw,TLF15,North Nottinghamshire,TLF1,Derbyshire and Nottinghamshire,TLF,East Midlands (England)
E07000172,Broxtowe,TLF16,South Nottinghamshire,TLF1,Derbyshire and Nottinghamshire,TLF,East Midlands (England)
E07000173,Gedling,TLF16,South Nottinghamshire,TLF1,Derbyshire and Nottinghamshire,TLF,East Midlands (England)
E07000174,Mansfield,TLF15,North Nottinghamshire,TLF1,Derbyshire and Nottinghamshire,TLF,East Midlands (England)
E07000175,Newark and Sherwood,TLF15,North Nottinghamshire,TLF1,Derbyshire and Nottinghamshire,TLF,East Midlands (England)
E07000176,Rushcliffe,TLF16,South Nottinghamshire,TLF1,Derbyshire and Nottinghamshire,TLF,East Midlands (England)
E07000177,Cherwell,TLJ14,Oxfordshire CC,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ,South East (England)
E07000178,Oxford,TLJ14,Oxfordshire CC,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ,South East (England)
E07000179,South Oxfordshire,TLJ14,Oxfordshire CC,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ,South East (England)
E07000180,Vale of White Horse,TLJ14,Oxfordshire CC,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ,South East (England)
E07000181,West Oxfordshire,TLJ14,Oxfordshire CC,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ,South East (England)
E07000187,Mendip,TLK23,Somerset CC,TLK2,Dorset and Somerset,TLK,South West (England)
E07000188,Sedgemoor,TLK23,Somerset CC,TLK2,Dorset and Somerset,TLK,South West (England)
E07000189,South Somerset,TLK23,Somerset CC,TLK2,Dorset and Somerset,TLK,South West (England)
E07000192,Cannock Chase,TLG24,Staffordshire CC,TLG2,Shropshire and Staffordshire,TLG,West Midlands (England)
E07000193,East Staffordshire,TLG24,Staffordshire CC,TLG2,Shropshire and Staffordshire,TLG,West Midlands (England)
E07000194,Lichfield,TLG24,Staffordshire CC,TLG2,Shropshire and Staffordshire,TLG,West Midlands (England)
E07000195,Newcastle-under-Lyme,TLG24,Staffordshire CC,TLG2,Shropshire and Staffordshire,TLG,West Midlands (England)
E07000196,South Staffordshire,TLG24,Staffordshire CC,TLG2,Shropshire and Staffordshire,TLG,West Midlands (England)
E07000197,Stafford,TLG24,Staffordshire CC,TLG2,Shropshire and Staffordshire,TLG,West Midlands (England)
E07000198,Staffordshire Moorlands,TLG24,Staffordshire CC,TLG2,Shropshire and Staffordshire,TLG,West Midlands (England)
E07000199,Tamworth,TLG24,Staffordshire CC,TLG2,Shropshire and Staffordshire,TLG,West Midlands (England)
E07000200,Babergh,TLH14,Suffolk CC,TLH1,East Anglia,TLH,East
E07000202,Ipswich,TLH14,Suffolk CC,TLH1,East Anglia,TLH,East
E07000203,Mid Suffolk,TLH14,Suffolk CC,TLH1,East Anglia,TLH,East
E07000207,Elmbridge,TLJ25,West Surrey,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England)
E07000208,Epsom and Ewell,TLJ26,East Surrey,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England)
E07000209,Guildford,TLJ25,West Surrey,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England)
E07000210,Mole Valley,TLJ26,East Surrey,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England)
E07000211,Reigate and Banstead,TLJ26,East Surrey,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England)
E07000212,Runnymede,TLJ25,West Surrey,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England)
E07000213,Spelthorne,TLJ25,West Surrey,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England)
E07000214,Surrey Heath,TLJ25,West Surrey,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England)
E07000215,Tandridge,TLJ26,East Surrey,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England)
E07000216,Waverley,TLJ25,West Surrey,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England)
E07000217,Woking,TLJ25,West Surrey,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England)
E07000218,North Warwickshire,TLG13,Warwickshire CC,TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG,West Midlands (England)
E07000219,Nuneaton and Bedworth,TLG13,Warwickshire CC,TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG,West Midlands (England)
E07000220,Rugby,TLG13,Warwickshire CC,TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG,West Midlands (England)
E07000221,Stratford-on-Avon,TLG13,Warwickshire CC,TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG,West Midlands (England)
E07000222,Warwick,TLG13,Warwickshire CC,TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG,West Midlands (England)
E07000223,Adur,TLJ27,West Sussex (South West),TLJ2,"Surrey, East and West Sussex",TLJ,South East (England)
E07000224,Arun,TLJ27,West Sussex (South West),TLJ2,"Surrey, East and West Sussex",TLJ,South East (England)
E07000225,Chichester,TLJ27,West Sussex (South West),TLJ2,"Surrey, East and West Sussex",TLJ,South East (England)
E07000226,Crawley,TLJ28,West Sussex (North East),TLJ2,"Surrey, East and West Sussex",TLJ,South East (England)
E07000227,Horsham,TLJ28,West Sussex (North East),TLJ2,"Surrey, East and West Sussex",TLJ,South East (England)
E07000228,Mid Sussex,TLJ28,West Sussex (North East),TLJ2,"Surrey, East and West Sussex",TLJ,South East (England)
E07000229,Worthing,TLJ27,West Sussex (South West),TLJ2,"Surrey, East and West Sussex",TLJ,South East (England)
E07000234,Bromsgrove,TLG12,Worcestershire CC,TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG,West Midlands (England)
E07000235,Malvern Hills,TLG12,Worcestershire CC,TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG,West Midlands (England)
E07000236,Redditch,TLG12,Worcestershire CC,TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG,West Midlands (England)
E07000237,Worcester,TLG12,Worcestershire CC,TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG,West Midlands (England)
E07000238,Wychavon,TLG12,Worcestershire CC,TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG,West Midlands (England)
E07000239,Wyre Forest,TLG12,Worcestershire CC,TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG,West Midlands (England)
E07000240,St Albans,TLH23,Hertfordshire CC,TLH2,Bedfordshire and Hertfordshire,TLH,East
E07000241,Welwyn Hatfield,TLH23,Hertfordshire CC,TLH2,Bedfordshire and Hertfordshire,TLH,East
E07000242,East Hertfordshire,TLH23,Hertfordshire CC,TLH2,Bedfordshire and Hertfordshire,TLH,East
E07000243,Stevenage,TLH23,Hertfordshire CC,TLH2,Bedfordshire and Hertfordshire,TLH,East
E07000244,East Suffolk,TLH14,Suffolk CC,TLH1,East Anglia,TLH,East
E07000245,West Suffolk,TLH14,Suffolk CC,TLH1,East Anglia,TLH,East
E07000246,Somerset West and Taunton,TLK23,Somerset CC,TLK2,Dorset and Somerset,TLK,South West (England)
E08000001,Bolton,TLD36,Greater Manchester North West,TLD3,Greater Manchester,TLD,North West (England)
E08000002,Bury,TLD37,Greater Manchester North East,TLD3,Greater Manchester,TLD,North West (England)
E08000003,Manchester,TLD33,Manchester,TLD3,Greater Manchester,TLD,North West (England)
E08000004,Oldham,TLD37,Greater Manchester North East,TLD3,Greater Manchester,TLD,North West (England)
E08000005,Rochdale,TLD37,Greater Manchester North East,TLD3,Greater Manchester,TLD,North West (England)
E08000006,Salford,TLD34,Greater Manchester South West,TLD3,Greater Manchester,TLD,North West (England)
E08000007,Stockport,TLD35,Greater Manchester South East,TLD3,Greater Manchester,TLD,North West (England)
E08000008,Tameside,TLD35,Greater Manchester South East,TLD3,Greater Manchester,TLD,North West (England)
E08000009,Trafford,TLD34,Greater Manchester South West,TLD3,Greater Manchester,TLD,North West (England)
E08000010,Wigan,TLD36,Greater Manchester North West,TLD3,Greater Manchester,TLD,North West (England)
E08000011,Knowsley,TLD71,East Merseyside,TLD7,Merseyside,TLD,North West (England)
E08000012,Liverpool,TLD72,Liverpool,TLD7,Merseyside,TLD,North West (England)
E08000013,St. Helens,TLD71,East Merseyside,TLD7,Merseyside,TLD,North West (England)
E08000014,Sefton,TLD73,Sefton,TLD7,Merseyside,TLD,North West (England)
E08000015,Wirral,TLD74,Wirral,TLD7,Merseyside,TLD,North West (England)
E08000016,Barnsley,TLE31,"Barnsley, Doncaster and Rotherham",TLE3,South Yorkshire,TLE,Yorkshire and The Humber
